# Symmetric stable distributions
alpha|lambda2|tau4|tau6
1.01|63.5000|0.9820|0.9732
1.02|31.6788|0.9643|0.9474
1.03|21.0778|0.9471|0.9226
1.04|15.7817|0.9303|0.8986
1.05|12.6072|0.9139|0.8755
1.06|10.4935|0.8978|0.8532
1.07|8.9858|0.8821|0.8317
1.08|7.8567|0.8668|0.8109
1.09|6.9800|0.8518|0.7908
1.10|6.2798|0.8370|0.7714
1.11|5.7080|0.8226|0.7526
1.12|5.2325|0.8085|0.7344
1.13|4.8309|0.7947|0.7168
1.14|4.4874|0.7812|0.6997
1.15|4.1903|0.7679|0.6832
1.16|3.9309|0.7549|0.6672
1.17|3.7026|0.7421|0.6516
1.18|3.5001|0.7295|0.6365
1.19|3.3193|0.7172|0.6218
1.20|3.1570|0.7052|0.6076
1.21|3.0105|0.6933|0.5938
1.22|2.8776|0.6817|0.5803
1.23|2.7566|0.6702|0.5672
1.24|2.6459|0.6590|0.5545
1.25|2.5443|0.6479|0.5421
1.26|2.4507|0.6371|0.5301
1.27|2.3643|0.6264|0.5183
1.28|2.2843|0.6159|0.5069
1.29|2.2099|0.6055|0.4957
1.30|2.1407|0.5953|0.4848
1.31|2.0761|0.5853|0.4742
1.32|2.0156|0.5755|0.4638
1.33|1.9590|0.5658|0.4537
1.34|1.9058|0.5562|0.4438
1.35|1.8558|0.5468|0.4341
1.36|1.8087|0.5375|0.4246
1.37|1.7642|0.5284|0.4154
1.38|1.7221|0.5194|0.4063
1.39|1.6823|0.5105|0.3975
1.40|1.6446|0.5017|0.3888
1.41|1.6088|0.4931|0.3803
1.42|1.5748|0.4846|0.3720
1.43|1.5424|0.4762|0.3638
1.44|1.5116|0.4679|0.3558
1.45|1.4822|0.4597|0.3480
1.46|1.4541|0.4516|0.3403
1.47|1.4273|0.4437|0.3327
1.48|1.4017|0.4358|0.3253
1.49|1.3771|0.4280|0.3180
1.50|1.3541|0.4203|0.3108
1.51|1.3320|0.4127|0.3037
1.52|1.3103|0.4053|0.2968
1.53|1.2895|0.3979|0.2900
1.54|1.2695|0.3906|0.2834
1.55|1.2503|0.3834|0.2768
1.56|1.2318|0.3763|0.2703
1.57|1.2140|0.3693|0.2639
1.58|1.1968|0.3623|0.2576
1.59|1.1802|0.3554|0.2514
1.60|1.1650|0.3490|0.2457
1.61|1.1495|0.3422|0.2396
1.62|1.1345|0.3355|0.2336
1.63|1.1201|0.3289|0.2277
1.64|1.1061|0.3223|0.2218
1.65|1.0926|0.3158|0.2161
1.66|1.0796|0.3094|0.2104
1.67|1.0669|0.3031|0.2047
1.68|1.0546|0.2968|0.1991
1.69|1.0427|0.2906|0.1936
1.70|1.0312|0.2844|0.1882
1.71|1.0200|0.2783|0.1828
1.71|1.0189|0.2775|0.1819
1.72|1.0081|0.2715|0.1766
1.73|0.9977|0.2655|0.1714
1.74|0.9875|0.2596|0.1662
1.75|0.9776|0.2538|0.1610
1.76|0.9680|0.2480|0.1559
1.77|0.9587|0.2422|0.1509
1.78|0.9496|0.2365|0.1458
1.79|0.9408|0.2309|0.1409
1.80|0.9323|0.2254|0.1360
1.81|0.9239|0.2198|0.1311
1.82|0.9157|0.2143|0.1262
1.83|0.9077|0.2089|0.1214
1.84|0.9000|0.2035|0.1166
1.85|0.8924|0.1981|0.1118
1.86|0.8850|0.1928|0.1071
1.87|0.8778|0.1875|0.1024
1.88|0.8708|0.1823|0.0977
1.89|0.8639|0.1771|0.0931
1.90|0.8576|0.1724|0.0890
1.91|0.8510|0.1673|0.0844
1.92|0.8446|0.1622|0.0798
1.93|0.8383|0.1571|0.0752
1.94|0.8322|0.1521|0.0706
1.95|0.8262|0.1471|0.0661
1.96|0.8203|0.1422|0.0616
1.97|0.8145|0.1373|0.0571
1.98|0.8089|0.1324|0.0526
1.99|0.8034|0.1275|0.0482
2.00|0.7979|0.1226|0.0437
