# Student t distribution
df|tau4|tau6
999999.9|0.122602|0.043661
100.0000|0.125447|0.045202
50.0000|0.128358|0.046797
33.3333|0.131335|0.048450
25.0000|0.134380|0.050162
20.0000|0.137494|0.051934
16.6667|0.140680|0.053770
14.2857|0.143939|0.055670
12.5000|0.147271|0.057638
11.1111|0.150680|0.059674
10.0000|0.154166|0.061782
9.0909|0.157730|0.063963
8.3333|0.161376|0.066220
7.6923|0.165103|0.068555
7.1429|0.168914|0.070970
6.6667|0.172810|0.073467
6.2500|0.176793|0.076050
5.8824|0.180864|0.078719
5.5556|0.185025|0.081478
5.2632|0.189277|0.084330
5.0000|0.193622|0.087276
4.7619|0.198062|0.090319
4.5455|0.202598|0.093462
4.3478|0.207231|0.096708
4.1667|0.211964|0.100059
4.0000|0.216797|0.103518
3.8462|0.221732|0.107087
3.7037|0.226772|0.110770
3.5714|0.231917|0.114570
3.4483|0.237168|0.118489
3.3333|0.242528|0.122531
3.2258|0.247999|0.126699
3.1250|0.253581|0.130995
3.0303|0.259276|0.135423
2.9412|0.265086|0.139987
2.8571|0.271012|0.144689
2.7778|0.277057|0.149533
2.7027|0.283221|0.154522
2.6316|0.289506|0.159661
2.5641|0.295914|0.164953
2.5000|0.302447|0.170401
2.4390|0.309106|0.176009
2.3810|0.315893|0.181782
2.3256|0.322810|0.187723
2.2727|0.329858|0.193836
2.2222|0.337039|0.200125
2.1739|0.344354|0.206596
2.1277|0.351806|0.213252
2.0833|0.359397|0.220097
2.0408|0.367127|0.227136
2.0000|0.375000|0.234375
1.9608|0.383016|0.241818
1.9231|0.391178|0.249469
1.8868|0.399488|0.257334
1.8519|0.407947|0.265418
1.8182|0.416558|0.273727
1.7857|0.425322|0.282265
1.7544|0.434241|0.291039
1.7241|0.443318|0.300056
1.6949|0.452555|0.309316
1.6667|0.461953|0.318832
1.6393|0.471515|0.328606
1.6129|0.481243|0.338646
1.5873|0.491139|0.348958
1.5625|0.501206|0.359549
1.5385|0.511445|0.370425
1.5152|0.521860|0.381594
1.4925|0.532451|0.393063
1.4706|0.543223|0.404839
1.4493|0.554177|0.416930
1.4286|0.565316|0.429343
1.4085|0.576642|0.442086
1.3889|0.588158|0.455168
1.3699|0.599866|0.468597
1.3514|0.611770|0.482382
1.3333|0.623872|0.496531
1.3158|0.636174|0.511054
1.2987|0.648680|0.525960
1.2821|0.661393|0.541257
1.2658|0.674315|0.556958
1.2500|0.687450|0.573069
1.2346|0.700800|0.589604
1.2195|0.714368|0.606572
1.2048|0.728159|0.623984
1.1905|0.742175|0.641850
1.1765|0.756419|0.660184
1.1628|0.770896|0.678996
1.1494|0.785607|0.698298
1.1364|0.800558|0.718103
1.1236|0.815751|0.738424
1.1111|0.831190|0.759274
1.0989|0.846880|0.780665
1.0870|0.862823|0.802613
1.0753|0.879024|0.825131
1.0638|0.895487|0.848234
1.0526|0.912216|0.871937
1.0417|0.929215|0.896255
1.0309|0.946488|0.921203
1.0204|0.964041|0.946799
1.0101|0.981876|0.973059
1.0000|1.000000|1.000000
