# Power exponential
alpha|1over_alpha|lambda2|tau4|tau6
20.0000|0.00|0.32109876|0.00000000|0.00000000
20.0000|0.05|0.32630736|0.00466549|0.00347135
10.0000|0.10|0.32359103|0.01481141|0.00894849
6.6667|0.15|0.32428473|0.02735806|0.01420384
5.0000|0.20|0.32784763|0.04093860|0.01900049
4.0000|0.25|0.33395377|0.05489047|0.02343624
3.3333|0.30|0.34241559|0.06887424|0.02763663
2.8571|0.35|0.35314086|0.08271085|0.03170048
2.5000|0.40|0.36610747|0.09630557|0.03569730
2.2222|0.45|0.38134833|0.10960996|0.03967392
2.0000|0.50|0.39894228|0.12260172|0.04366115
1.6667|0.60|0.44170615|0.14762719|0.05173905
1.4286|0.70|0.49581064|0.17140808|0.06001283
1.2500|0.80|0.56328368|0.19402234|0.06850476
1.1111|0.90|0.64683802|0.21556050|0.07720985
1.0000|1.00|0.75000000|0.23611111|0.08611111
0.9091|1.10|0.87729771|0.25575576|0.09518685
0.8333|1.20|1.03451677|0.27456774|0.10441427
0.7692|1.30|1.22903921|0.29261227|0.11377110
0.7143|1.40|1.47028772|0.30994715|0.12323641
0.6667|1.50|1.77030637|0.32662366|0.13279091
0.6250|1.60|2.14451902|0.34268739|0.14241699
0.5882|1.70|2.61272081|0.35817903|0.15209870
0.5556|1.80|3.20037618|0.37313493|0.16182159
0.5263|1.90|3.94032115|0.38758782|0.17157265
0.5000|2.00|4.87500000|0.40156720|0.18134011
0.4762|2.10|6.05941012|0.41509977|0.19111338
0.4545|2.20|7.56498662|0.42820980|0.20088288
0.4348|2.30|9.48473709|0.44091944|0.21063997
0.4167|2.40|11.94004219|0.45324894|0.22037685
0.4000|2.50|15.08968008|0.46521688|0.23008643
0.3846|2.60|19.14182526|0.47684039|0.23976233
0.3704|2.70|24.37003263|0.48813526|0.24939875
0.3571|2.80|31.13457081|0.49911614|0.25899048
0.3448|2.90|39.91094788|0.50979659|0.26853273
0.3333|3.00|51.32812500|0.52018926|0.27802122
0.2857|3.50|99.|0.56822266|0.32453316
0.2500|4.00|99.|0.61054792|0.36925196
0.2222|4.50|99.|0.64807967|0.41196002
0.2000|5.00|99.|0.68152314|0.45254025
0.1818|5.50|99.|0.71143811|0.49094359
0.1667|6.00|99.|0.73827925|0.52716792
0.1538|6.50|99.|0.76242269|0.56124380
0.1429|7.00|99.|0.78418432|0.59322448
0.1333|7.50|99.|0.80383273|0.62317890
0.1250|8.00|99.|0.82159867|0.65118647
0.1176|8.50|99.|0.83768203|0.67733330
0.1111|9.00|99.|0.85225723|0.70170937
0.1053|9.50|99.|0.86547742|0.72440640
0.1000|10.00|99.|0.87747771|0.74551627
0.0800|12.50|99.|0.92294429|0.83035818
0.0600|16.67|99.|0.96414864|0.91540681
0.0400|25.00|99.|0.99213153|0.97987462
0.0200|50.00|99.|0.99991176|0.99975661
0.0000|99.|99.|1.00000000|1.00000000
